index,review_title,overall_rating,review_text,recommends,pros,cons,experience,shift
7101,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,Good environment to work and learn excellent,Less hike compare to other company. Compare to product base company.,6,Full-Time
7102,Good Place to start your carreer,Neutral Outlook,Negative Outlook,I worked at this company full-time for more than 8 years,Diversity of people to work with.,Internal politics within certain teams.,9,Full-Time
7103,Good experience,Recommends,Positive Outlook,I worked at this company full-time for more than a year,It's great place to work,Sometimes there is a lot of work pressure,2,Full-Time
7104,Nice,Doesn't Recommend,No Opinion of CEO,I worked at this company full-time for less than a year,GREAT work culture and flexible timming,Payscale is low and firing rate is high,1,Full-Time
7105,Its good company,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Salary is less and takes more time to grow,Big organization. Limited recognition to achieve.,2,Full-Time
7106,Great exposure to start your career with,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Honestly it all depends on the project you are assigned to and the domain your project works in. 
You gain experience in hosting client calls and meetings.
Gain technical knowledge in the tool your are working.
Build contacts if you wish to stick to the organization on the long run. 
An international working experience which will be valued all over the globe.","Some projects have immense work pressure while you can see your colleagues enjoying their working hours due to lack of work load in their project and to make it even worse to learn that they are getting paid the same or maybe even more with extra allowances which unfortunately your project won’t be providing , and do nothing about it. 
I guess you just can’t do anything about that.
They have to work it out to make it fair for everyone and not just make it easy for a few lucky bastards.",2,Full-Time
7107,Company learning curve is good,Recommends,Neutral Outlook,I have been working at this company full-time,"1.Pay on Time
2.Learning is free","1.Some project have micromanagement
2.Changing of project and skill is very difficult",5,Full-Time
7108,Company learning curve is good,Recommends,Neutral Outlook,I have been working at this company full-time,"1.Pay on Time
2.Learning is free","1.Some project have micromanagement
2.Changing of project and skill is very difficult",5,Full-Time
7109,Employees,Doesn't Recommend,No Opinion of CEO,I worked at this company full-time for more than 5 years,Relaxed work environment and flexible timings,Bad managers and stupid politics,6,Full-Time
7110,Overall Decent,Approves of CEO,Disapproves of CEO,I worked at this company full-time,Decent job. Work-Life Balance. Not much stress.,Politics in Pandemic. Even if project is available they won't take resources and keep you on bench.,4,Full-Time
7111,Awesome,Approves of CEO,Disapproves of CEO,I worked at this company full-time for less than a year,"Awesome platform, nice place for fresher those who are good in technical skills","Nothing to say, good culture",1,Full-Time
7112,Great company,Recommends,Negative Outlook,I worked at this company full-time for more than 3 years,Work life balance’ great team,Hikes may not be as great,4,Full-Time
7113,Good for developing Management skills,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than 3 years,"1. Brand value
2. Exposure to clients
3. Professionalism
4. Large number of clients","1. Salary hike is very less.
2.No career growth.
3. Too many leads and managers
4. VP process is too complicated
5. HR is not helpful",4,Full-Time
7114,Good company with good opportunity for freshers,Recommends,Positive Outlook,I have been working at this company full-time,Can learn new technology and can have new opportunities in various fields,Salary increment is not easy,5,Full-Time
7115,this company,Recommends,Neutral Outlook,I have been working at this company full-time for more than 3 years,"1. Women friendly
2. You have multiple ways to cross train yourself
3. No recession","once you get locked to a project, it gets difficult to get a roll off",4,Full-Time
7116,Good place to start your career,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"Very good place to start your career, good work culture, good pay, can drastically climb up the ladder",this company gives too much preferences to female employees,6,Full-Time
7117,First company,Recommends,Neutral Outlook,I worked at this company full-time for more than a year,"Good management and vision
Good company to start your career with",Your experience will depend on the project you are working in,2,Full-Time
7118,Good Learning Exposure,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"Good Learning Exposure, you will get good opportunity learn on new technologies. good training provided in every area.","work life balance, only good joining salary",6,Full-Time
7119,One of the best org,Recommends,Positive Outlook,I have been working at this company full-time,All good within so far,Nothing yet .....till now all good,5,Full-Time
7120,Great,Recommends,Positive Outlook,I worked at this company full-time,"Worked on new technologies, flexible timings. Work life balance",Sometimes the work used to get redundant,4,Full-Time
7121,A very good experience,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Work life balance
friendly environment
a very good culture","promotion delay
management is not always reachable",4,Full-Time
7122,Work Culture,Recommends,Negative Outlook,I worked at this company full-time for more than a year,"Good Work culture, Everyone is very helpful",You have to sometimes work on the weekends and over time but you will get compensated for that,2,Full-Time
7123,Nice company,Doesn't Recommend,Neutral Outlook,I worked at this company full-time,Good flexibility and great place to work,Hikes could be more in this company,4,Full-Time
7124,this company,Recommends,Positive Outlook,I worked at this company full-time for less than a year,Good workplace to work in,Projects may be at times not be of one's interest,1,Full-Time
7125,Review,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"- work environment
- compensation benefits
- flexible timings",#NAME?,6,Full-Time
7126,"Disappointing management, work & work culture",Disapproves of CEO,Negative Outlook,I worked at this company full-time for more than a year,Salary & other employee benefits are GOOD. Good yearly appraisal,"The work environment is very hostile, bad management & supervisors. The profile is digital marketing but the actual work is not digital marketing",2,Full-Time
7127,Culture at this company,Approves of CEO,Neutral Outlook,I worked at this company full-time for more than 3 years,engagement is good and a lot of things to learn.,Don't give that much opportunity to junior developers,4,Full-Time
7128,Service Based Work Process,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than 3 years,"Learning, Lot of Internal opportunities, Skill building system, Gender diversity","No Recognition, Leadership Pressure, Lack of Process, No Visibility, Regional Politics, Gender Bias",4,Full-Time
7129,Great COmpany,Recommends,Neutral Outlook,I have been working at this company full-time for less than a year,"1. Flexible work timings
2. Good package",Will depend upon your immediate manager,1,Full-Time
7130,Good Company to work,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,Good Company to work professionally,Nothing that i can think of,6,Full-Time
7131,Work environment,Recommends,Approves of CEO,I have been working at this company full-time,Very good work environment and good opportunities,Very bad experience with the management,5,Full-Time
7132,Data Integration and Anaytics,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Good Project can take your career to next level,Bad Project can ruin your time unless you leave that project,2,Full-Time
7133,Difficult to grow after certain level,Recommends,Neutral Outlook,I have been working at this company full-time,lot of projects and learning opportunities,difficult to make movement and grow after certain level,5,Full-Time
7134,Environment,Doesn't Recommend,Disapproves of CEO,I worked at this company full-time for more than a year,Good growth opportunity if you stick for a longer period of time,"Politics, favouritism, nepotism and work pressure",2,Full-Time
7135,Honest review with 3.8 years working experience,Doesn't Recommend,Positive Outlook,I have been working at this company full-time for more than 3 years,You will get to learn a lot,Internal politics and lack of recognition to your worl,4,Full-Time
7136,.,Approves of CEO,Positive Outlook,I have been working at this company full-time for more than a year,Great opportunity in carrier growth,I have not faced as such,2,Full-Time
7137,Work culture at this company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,It is a great workplace where you can manage your personal and professional work.,Hopefully the recognition for promotion is a little bit more fair.,4,Full-Time
7138,Work culture at this company,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,It is a great workplace where you can manage your personal and professional work.,Hopefully the recognition for promotion is a little bit more fair.,4,Full-Time
7139,analyst,Positive Outlook,Neutral Outlook,I have been working at this company full-time for less than a year,"all is good, nothing wrong","timing, na, na ,na , na",1,Full-Time
7140,Good place to start your career,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Give value to the employees
Good work culture",Variable pay can be improved,4,Full-Time
7141,Great place to work,Recommends,Positive Outlook,I worked at this company full-time,Work culture is amazing in this company,"Up skilling is a bit hard as we are working in a single project for a long time, and most often doing the same work for a long time.
It depends on the type of project we get into.",4,Full-Time
7142,Good Workplace,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,Policies are good for with a good working environment,Variable pay component is never explained correctly and not paid completely.,4,Full-Time
7143,Good Company to start career,Recommends,Approves of CEO,I have been working at this company full-time for more than 5 years,Friendly work environment and professional management,salary hikes less compared to market,6,Full-Time
7144,NO,Positive Outlook,Negative Outlook,I worked at this company full-time for less than a year,work place an enviromentr is good.,No Job guaranty. they assign bench for fresher,1,Full-Time
7145,Great,Recommends,Positive Outlook,I have been working at this company full-time for more than 8 years,Great company to work for,Work life balance disturbed sometimes work o weekend,9,Full-Time
7146,"Best Company to work for, build connections, ample of opportunities, work life balance",Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Work Life Balance, opportunities within this company to grow and learn, if you stay longer it offers stability and flexibility",Average Salary if you joined this company as a fresher and staying with it,2,Full-Time
7147,Used to be better. Too much office politics and pack behavior nowadays,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than 5 years,"Good place to learn. Proper policies in place for working women, mothers.",Used to be better. Too much office politics and pack behavior nowadays,6,Full-Time
7148,Very good Company to work for,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"1.Policies are good
2. Good projects
3. Multiple cafeteria so many food options
4. Shuttles are provided for normal shift and cabs provided for morning/night shifts",No complaints as of now,4,Full-Time
7149,worst Top management,Disapproves of CEO,No Opinion of CEO,I worked at this company full-time,"If you need want to survive bucketing and not working, this is it!! This is the company","Worst top management, they dont treat us like humans and except to work anytime they need. Females as leads are the worst.",4,Full-Time
7150,Nice working with them,No Opinion of CEO,Disapproves of CEO,I have been working at this company full-time for more than 5 years,Good company to work for.,There is no such problem which I can think of.,6,Full-Time
7151,Good Company to start your career,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,multiple projects you will be working hence learning curve,"not process oriented, bench strength",4,Full-Time
7152,Good Company,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Provides good opportunities to employees.,Sometimes Job security is the issue. Other than that everything is fine.,2,Full-Time
7153,Good opportunity to work in different projects,Recommends,Positive Outlook,I worked at this company full-time for more than 10 years,"It's a large company and has immense opportunities available. Lots of material readily available, trainings to improve your competency etc.",It's a large organisation so one can easily get lost in the crowd. One needs to learn how to create an impact.,12,Full-Time
7154,Pros and cons are a tie,Approves of CEO,Negative Outlook,I have been working at this company full-time,There are few will update the section soon,"The company may be good, but the management or the team you're working with makes a huge difference. 
More cons than pros",5,Full-Time
7155,best company,Recommends,Positive Outlook,I worked at this company full-time for less than a year,best company I worked so far,less growth compared to other,1,Full-Time
7156,Nice,Recommends,Approves of CEO,I worked at this company full-time,"Good Environment, Friendly Nature, we can learn more",To be Honest No Cons,4,Full-Time
7157,Good Company with strong Policies,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"- strong portfolio of clients.
- great company for freshers and experienced professionals alike.
- one can get opportunities to work on new tech if they can state their interests to their supervisor. 
- employee benefits and policies.","- Work-Life balance depends on the project one is assigned to.
- switching between technologies and roles is not smooth.",2,Full-Time
7158,Good Company with strong Policies,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"- strong portfolio of clients.
- great company for freshers and experienced professionals alike.
- one can get opportunities to work on new tech if they can state their interests to their supervisor. 
- employee benefits and policies.","- Work-Life balance depends on the project one is assigned to.
- switching between technologies and roles is not smooth.",2,Full-Time
7159,Okay,Approves of CEO,Positive Outlook,I have been working at this company full-time for more than 3 years,feasible location to work eases life,it gets tough to promote,4,Full-Time
7160,Great for a fresher or someone in management,Recommends,Neutral Outlook,I have been working at this company full-time for more than 3 years,Great for a fresher or someone in management,Very difficult to move across projects,4,Full-Time
7161,Good Exposure,Recommends,Positive Outlook,I worked at this company full-time for more than a year,It's a good place for freshers to start out if they are lucky to get into a good project,"The project is allocated on random basis. 
Near impossible to migrate to a another project and stream.",2,Full-Time
7162,Work Life Balance,Recommends,Approves of CEO,I worked at this company full-time for more than 5 years,"Employee centric, Good Work Environment, Progressive work Culture",No Comments with regards to the company,6,Full-Time
7163,Good company with work life balance!,Positive Outlook,Neutral Outlook,I worked at this company full-time,"Good work life balance, good working culture","Less salary,less flexibility to change skills",4,Full-Time
7164,Process lacking company,Doesn't Recommend,Neutral Outlook,I worked at this company full-time,Work life balance will be good,Process needs to be improve lot,4,Full-Time
7165,Good for beginers,Recommends,Neutral Outlook,I have been working at this company full-time,"Good environment 
Other curricular activities involved",its all depends on your projects,5,Full-Time
7166,Good opportunity,Negative Outlook,Negative Outlook,I have been working at this company full-time,"Good work environment, work life balance",Nothing as such i got,5,Full-Time
7167,AVG Company,Recommends,Positive Outlook,I have been working at this company full-time,Good place to work at,There are no cons to this company,5,Full-Time
7168,Wide Exposure,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Work Culture and safe environment,New learnings are achieved late,2,Full-Time
7169,Great Brand to work with,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"Job security, Work-life balance, Great opportunities, On Shore chances, Values","Compensation, relocation, Growth, Management , Long response times",2,Full-Time
7170,Good place for long term stability,Recommends,Positive Outlook,I have been working at this company full-time,Exposure to multiple industry domains.,Management is not trustworthy and variable payout is not at par.,5,Full-Time
7171,Average Service Based,Recommends,Neutral Outlook,I worked at this company full-time,Vast number of projects and opportunities to switch from one technology to the other,"Growth, appreciation and recognition is not good.",4,Full-Time
7172,5,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"Good working environment
Growth
learning oppertunities
Team environment
training","Unnecessary meeting
no work life balance",6,Full-Time
7173,Overall good experience,Recommends,Approves of CEO,I worked at this company full-time for more than a year,"You will get good exposure if you land in right project.
Recognition .
You will get good hike if project is doing good",Management can acknowledge more if employees strives for growth in terms of skills.,2,Full-Time
7174,Salary,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"Facilities , opportunities , training , transport , flexibility","Projects, management , leaves , technology , leads",4,Full-Time
7175,Good with employee benefits but not with financially support,Recommends,Positive Outlook,I have been working at this company full-time for more than 8 years,Good with employee benefits and technology implementation and related training and hot skills trending in market,Not good with annual hikes and pay revisions in case you stick with the company for a longer duration,9,Full-Time
7176,beware of service companies,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than 8 years,"nice environment, nice hr policies, good work culture mostly.","make you comfortable doing mediocre work and compensate with salary and promotions, you forget your main skills and cannot get out and then they keep you at same level for long unless you have a buddy as senior who takes care of you. like all big organisation there is politics , favoratism. dont think that big organisation means better code/code quality or bleeding edge tech. they are as helpless as any other company in terms of talent.",9,Full-Time
7177,Good Company,Negative Outlook,Neutral Outlook,I worked at this company full-time for more than a year,Work Life Balance. Pick right manager to work with.,Upper management should be better,2,Full-Time
7178,Good Company,Positive Outlook,No Opinion of CEO,I worked at this company full-time for more than a year,Work Life Balance. Pick right manager to work with.,Upper management should be better,2,Full-Time
7179,Good company to work for,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"People, culture, work life balance in comparison to other consulting companies",Less Rewards in comparison to tier one consulting firms,6,Full-Time
7180,Good,Recommends,Neutral Outlook,I worked at this company full-time,this company company is good for employees,But internal man6is not Good in some project,4,Full-Time
7181,Average company,Doesn't Recommend,Positive Outlook,I have been working at this company full-time for more than 3 years,More opportunities to do trainings,"Low Salary Increments, 
Give 10% of variable pay despite achieving full targets.
Can't implement trainings in live projects",4,Full-Time
7182,Good,Recommends,Positive Outlook,I worked at this company full-time,"everything is good, work-life balance","Nothing cons, everything is good, No Cons",4,Full-Time
7183,work environment,Recommends,Negative Outlook,I have been working at this company full-time,good environment for work in it,no cons regrding work environment,5,Full-Time
7184,Excellent,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Nothing to say company is excellent,Hike is little bit low,4,Full-Time
7185,Good Company,Negative Outlook,No Opinion of CEO,I worked at this company full-time for more than 3 years,"Good team and learning, projects are also good.",Management is not as good as it can be.,4,Full-Time
7186,Great place to work,Recommends,Positive Outlook,I worked at this company full-time for more than 8 years,"Good Work culture 
learning experience
Travel opportunities
Large network","Promotions not transparent 
Can be better handled",9,Full-Time
7187,Good for learning Worst for peace of mind,Doesn't Recommend,Approves of CEO,I worked at this company full-time for more than 5 years,Good learning opportunities to learn and grow in latest technologies,Rat race all the time,6,Full-Time
7188,Good Experience,Positive Outlook,Approves of CEO,I have been working at this company full-time,this company has newly formed studio of Designers,Lateral hire are paid less,5,Full-Time
7189,Salary,Neutral Outlook,Neutral Outlook,I worked at this company full-time,"Good workplace ethics, good cultural impact","salary pay, not that much options for transferable skills",4,Full-Time
7190,Good,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,Depends on the project. We may get multiple good opportunities.,Depends on the project and management.,6,Full-Time
7191,Good company,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Everything depend upon your manager,The management is least bothered about the employee's growth path,2,Full-Time
7192,this company,Recommends,Approves of CEO,I have been working at this company full-time for more than 5 years,"Good Project to work.
Exposer to new IT .",Salary increment minimal from past 4 to 5 years.,6,Full-Time
7193,Worst company,Neutral Outlook,Positive Outlook,I worked at this company full-time for more than 5 years,Cross trainings on different skills for people on bench,"1.No job security
2.Worst management and HR policies",6,Full-Time
7194,Salesforce Developer Review,Recommends,Approves of CEO,I have been working at this company full-time for more than a year,"Moderate work-life balance, depends on project in which you are working",Appraisal policies are not good.,2,Full-Time
7195,Too much useless process oriented,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time for more than 8 years,"learning new things , nothing else","HR policy , work balance, biasness , less employee value",9,Full-Time
7196,this company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,Value and ethics are followed.,Night shift in the company.,4,Full-Time
7197,Good company,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Good work culture and lots of training,Senior management is not fair and no opportunities as per interest,2,Full-Time
7198,Great Experience,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Great work environment and colleagues are a huge support.,No cons yet. I hope I get no cons,1,Full-Time
7199,Good company to start with,Recommends,Positive Outlook,I have been working at this company full-time,"Good exposure
100% approval of manager, team leads , team",No cons found atleast from my end.,5,Full-Time
7200,Good work life balance,Doesn't Recommend,No Opinion of CEO,I worked at this company full-time,Benefits and pevelage for women employees,Multiple shift and once project goes back it's hectic,4,Full-Time
7201,Great compant,Positive Outlook,Positive Outlook,I have been working at this company full-time,good company to work on,nothing as such observed. All were good.,5,Full-Time
7202,Application development analyst,Approves of CEO,Positive Outlook,I worked at this company full-time,"Good work 
They encourage you if you are talented and hardworking
Pay is good
Work from home oppurtunity","It's 10 hours shift
Some times we should extend also",4,Full-Time
7203,Worked there as Utilization representative,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Good environment, amazing co workers with lots of activities",Nothing much to specify overall it's amazing,4,Full-Time
7204,Good Company,Recommends,Disapproves of CEO,I have been working at this company full-time for more than 5 years,"Good work Culture, Good Project, Good HR Policy","Annual salary Hike is less, also salary hike effect after 6 months of letter",6,Full-Time
7205,CA,Negative Outlook,Negative Outlook,I have been working at this company full-time for less than a year,Good culture and good transparency,bpo is worst and hell for work,1,Full-Time
7206,It's good company,Recommends,Approves of CEO,I have been working at this company full-time for more than a year,It's good place to work,It's good company with bit of politics.,2,Full-Time
7207,Good,Recommends,Neutral Outlook,I worked at this company full-time for more than 5 years,Good company. Everything very good.,Nothing was bad. All good.,6,Full-Time
7208,Good company,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,You can get good experience,Long working hours only problem,1,Full-Time
7209,Work life at this company,Recommends,Positive Outlook,I worked at this company full-time for more than 5 years,"Once you are at SME level 
There is a flexibility to work from home 
Did your shift and have work life balance","You are responsible for whole project technically 
Else go to the vendor
No help from architects, they only come when some major escalations",6,Full-Time
7210,Nice Experience,Neutral Outlook,Negative Outlook,I worked at this company full-time for more than a year,They have a nice training,You might get project in technologies only based on availability,2,Full-Time
7211,this company review,No Opinion of CEO,No Opinion of CEO,I have been working at this company full-time for more than 3 years,"salary
low work
good environment
great people
good work","less project
less salary
no growth
less knowledge
so so",4,Full-Time
7212,"US Tax Associate, R2R",Recommends,Neutral Outlook,I worked at this company full-time for more than a year,"good working environment, friendly colleagues and team, 24 hours cab facility",shift timing and no shift allowance or food allowance for night shift,2,Full-Time
7213,Work culture,Neutral Outlook,Disapproves of CEO,I have been working at this company full-time for more than 10 years,"Great company to work, good opportunities on new technology",Compensation for long timers is not atpar with Industry standards.,12,Full-Time
7214,good,Doesn't Recommend,Positive Outlook,I have been working at this company full-time,good experience as developer it is good,no cons for this company in my view,5,Full-Time
7215,good company,Doesn't Recommend,Negative Outlook,I worked at this company full-time for less than a year,there are a healthy work environment.,you will get so much work pressure,1,Full-Time
7216,Great place to work,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Learning opportunities. Exposure to new tech,Nothing that I can think of,2,Full-Time
7217,Best company to work,Recommends,Positive Outlook,I worked at this company full-time,Just want to say that it's a place which you will always love to work.,Sometimes weekend calls hurt but it's okay as this company pays and care for employees.,4,Full-Time
7218,Best company to work,Recommends,Positive Outlook,I worked at this company full-time,Just want to say that it's a place which you will always love to work.,Sometimes weekend calls hurt but it's okay as this company pays and care for employees.,4,Full-Time
7219,Company,Doesn't Recommend,Negative Outlook,I worked at this company full-time for more than a year,"Good, nothing seems good, not right place, takes time, partial","Worst... nothing seems good, work totally depends on management, worst experience, state difference",2,Full-Time
7220,Good Company,Recommends,Positive Outlook,I worked at this company full-time for more than 10 years,"Best Policy for Employees, very woman friendly and Culture in the Company","Worst HR, changes every time, no employee focus or connect",12,Full-Time
7221,Very good place to build career,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"Working from 5 years, company is very fair and give good opportunity to choose your career path",I've not found any negatives here.,6,Full-Time
7222,Awesome company,Disapproves of CEO,Positive Outlook,I worked at this company full-time,"Work-life balance
Good Ambiance
Friendly seniors
Best company
Best food","Overtime work
Not clean
Desktop small
Not good parking
Less bus facility",4,Full-Time
7223,Best Company to work with,Recommends,Positive Outlook,I worked at this company full-time for less than a year,"The management is supportive and humble, Cafeteria is the best place",Nothing as such for cons,1,Full-Time
7224,Good company,Recommends,Neutral Outlook,I worked at this company full-time for more than 3 years,Good company to move to. They are on the technology leading race.,No cons that I can think of.,4,Full-Time
7225,Good place to work,Recommends,Positive Outlook,I worked at this company full-time for less than a year,Relaxed work atmosphere for all employees.,Non billable duration is long,1,Full-Time
7226,Account payable,Recommends,Positive Outlook,I have been working at this company full-time,Good working culture and women safety,Shift timings and transport are good,5,Full-Time
7227,Overall review,Recommends,Neutral Outlook,I have been working at this company full-time for more than 3 years,As a junior resources you will be more responsible and you own things in project,"Over time, usually we work upto 12 hours.",4,Full-Time
7228,Working at this company,Recommends,Positive Outlook,I worked at this company full-time for less than a year,"Good salary 
Healthy work conditions",No cons for this company,1,Full-Time
7229,place to grow,Recommends,Approves of CEO,I worked at this company full-time for more than 3 years,Good place to learn and grow,everything depends on your project,4,Full-Time
7230,Program and Ops Specialist,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Big Company, Many Opportunities to Learn/ Grow","Too much politics, few employees are too comfortable",4,Full-Time
7231,Software Engineer,Recommends,Positive Outlook,I worked at this company full-time for more than a year,Great place for strengthening your skills and learning new things.,Slow Growth but great place to learn,2,Full-Time
7232,partially satisfactory,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,"healthy environment, learning opportunities, the cafeteria was good","growth is limited, little inner politics, no extra pays, no bonus, and other allowances",2,Full-Time
7233,Good company to work,Recommends,Negative Outlook,I worked at this company full-time for more than 5 years,"international clients, culture and flexibility and good package","Much work load, long working hours-10 hours",6,Full-Time
7234,this company Review,Recommends,Neutral Outlook,I worked at this company full-time,"- Employee Strength
- Big brand
- Clean salary structure","- Very heirarchial
- Join at a good level",4,Full-Time
7235,It's good to company to start with,Recommends,Neutral Outlook,I worked at this company full-time for more than a year,More exposure. Many clients and projects. Differe t roles,Too much work time. Like 10hrs.,2,Full-Time
7236,Great company to work with.,Recommends,Positive Outlook,I have been working at this company full-time for more than 5 years,"Highly professional workspace
Great learning Opportunity",Not much but might feel stagnant if you don't challenge yourselves constantly.,6,Full-Time
7237,Good,Doesn't Recommend,Disapproves of CEO,I have been working at this company full-time,Good work culture for women,Salary hike is quite low,5,Full-Time
7238,.....,Doesn't Recommend,Negative Outlook,I worked at this company full-time for less than a year,good atmosphere to start career.,flexibility with location is required,1,Full-Time
7239,Company,Recommends,Positive Outlook,I worked at this company full-time for more than 8 years,Work environment is good here,A few don't get salary increase,9,Full-Time
7240,Great place to work.,Recommends,Approves of CEO,I have been working at this company full-time for more than a year,"Good workplace, Friendy environment, Supportive leads",Can't think of any cons now,2,Full-Time
7241,Overall fairly Good Experience,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"There are lot of projects on various new technologies. So, you get to work on all sorts of technologies",You have to work at the location which you get the project at. Even if there is a closer office near to your home,4,Full-Time
7242,Good company,Recommends,Positive Outlook,I have been working at this company full-time,"Good company, more different project to switch on. Streamlined work","In the name of Diversity they are keeping women’s in top level with very minimal knowledge, not have ability to handle the team and most of the youngsters leaving company because of this l.",5,Full-Time
7243,this company review,Recommends,Positive Outlook,I worked at this company full-time for more than a year,"1. If you are a women, lot of support is provided.
2. Flexiblity in work place movements
3. For one's switching the job, this company pays a good sum.","1. Depending on project, work load can be high or low.
2. work-life balance is again off the line if projects are of such nature i.e. demanding more work hours.",2,Full-Time
7244,Working in this company is a good career start.,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,You get to explore and learn different technologies.,At an entry level role you don't get to choose your project. The company randomly allocates the projects.,2,Full-Time
7245,Good,Recommends,Neutral Outlook,I worked at this company full-time for more than 3 years,Work place and good environment,Salary is not that good with no growth,4,Full-Time
7246,Good,Disapproves of CEO,Neutral Outlook,I have been working at this company full-time,Good place to work in india,nothing bad as of now. Variable pay was less,5,Full-Time
7247,Good learning experience,Recommends,Neutral Outlook,I worked at this company full-time for less than a year,Very good work life balance,Hikes are not so good,1,Full-Time
7248,"Good company, great brand name.",Disapproves of CEO,No Opinion of CEO,I have been working at this company full-time for more than 5 years,Provides you great brand value.,Hikes are not so great. Partial managers. No proper HR system. No out of world employee benefits.,6,Full-Time
7249,Communication Trainer for an Australian bank,Doesn't Recommend,Negative Outlook,I worked at this company full-time for less than a year,"Learning curve, amenities, independent decisions","Too slow growth, nepotism,biased management,unfair policies,",1,Full-Time
7250,Good,Recommends,Positive Outlook,I have been working at this company full-time for more than a year,Good environment to work and first priority for women safety,No proper level movement in this company,2,Full-Time
7251,Great place to work,Recommends,Positive Outlook,I have been working at this company full-time for more than 3 years,"All depends on the team and client and the kind of project it is. I had good overall experience, Loved it for the opportunities","Not great hike though because too many members in the project, Pressure can be a bit overwhelming at times",4,Full-Time
7252,Job At Software,Doesn't Recommend,Neutral Outlook,I have been working at this company full-time for more than a year,"Good Pay, Professional life , Good Hikes","Monotonous job, No work life balance",2,Full-Time
7253,AVG Company,Doesn't Recommend,Neutral Outlook,I worked at this company full-time for more than a year,"Maternity and paternity leaves
Good cultural activities","Less increments
Less opportunity for real talent",2,Full-Time
7254,Working environment,Positive Outlook,Disapproves of CEO,I have been working at this company full-time for more than a year,Overall working environment is good,You don't get easily promoted unless you don't do flattery,2,Full-Time
7255,Good company to work for,Neutral Outlook,Neutral Outlook,I have been working at this company full-time,Good company to work for,Salary is less when compared to other companies. Less hike and variable pay.,5,Full-Time
7256,Political Company,Doesn't Recommend,Negative Outlook,I have been working at this company full-time for more than 3 years,"Work on latest technologies like AL, ML & Data Analytics","Lot of Politics, Tough for new Male employees",4,Full-Time
7257,only for ASE,Approves of CEO,Positive Outlook,I worked at this company full-time for more than a year,"gud work life balance, friendly environment",nothing ... about this company,2,Full-Time
7258,Best place to work,Recommends,Positive Outlook,I have been working at this company full-time for less than a year,Good salary for the employees,Less technical projects to work,1,Full-Time
7259,Good company to work for,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Compensation, infrastructure, enoloyee centric plocies",Too much of internal politics,4,Full-Time
7260,Project decides your growth and not this company,Recommends,Positive Outlook,I worked at this company full-time for more than 3 years,"Lot of projects, technologies, good infrastructure with more than 4 lakh of employees throughout the world",Even though you are skilled person the chance of getting utilized by project is low. And due to more employees its very difficult to get recognized. All based on your luck and the project you assigned with. I know few people get recognized in few months whereas few are struggling for more years,4,Full-Time
7261,Nice place,Negative Outlook,No Opinion of CEO,I have been working at this company full-time for less than a year,Nice place to start your career,Noting all things are good,1,Full-Time
